# Reciprocal lattice vectors (tpiba units)
               b(1) = (  1.000000  0.577350 -0.000000 )  
               b(2) = (  0.000000  1.154701  0.000000 )  
               b(3) = (  0.000000 -0.000000  0.166667 )  


# 72x72x1 set
        k(  124) = (   0.0416667   0.3448064   0.0000000), wk =   0.0046296
        k(  125) = (   0.0416667   0.3608439   0.0000000), wk =   0.0046296
        k(  126) = (   0.0416667   0.3768814   0.0000000), wk =   0.0046296
        k(  127) = (   0.0416667   0.3929189   0.0000000), wk =   0.0046296
        k(  128) = (   0.0416667   0.4089564   0.0000000), wk =   0.0046296
        k(  129) = (   0.0416667   0.4249939   0.0000000), wk =   0.0046296
        k(  130) = (   0.0416667   0.4410315   0.0000000), wk =   0.0046296
        k(  131) = (   0.0416667   0.4570690   0.0000000), wk =   0.0046296
        k(  132) = (   0.0416667   0.4731065   0.0000000), wk =   0.0046296
        k(  133) = (   0.0416667   0.4891440   0.0000000), wk =   0.0046296
        k(  134) = (   0.0416667   0.5051815   0.0000000), wk =   0.0046296
        k(  135) = (   0.0416667   0.5212190   0.0000000), wk =   0.0046296
        k(  136) = (   0.0416667   0.5372565   0.0000000), wk =   0.0046296
        k(  137) = (   0.0416667   0.5532940   0.0000000), wk =   0.0046296
        k(  138) = (   0.0416667   0.5693315   0.0000000), wk =   0.0046296
        k(  139) = (   0.0555556   0.0962250   0.0000000), wk =   0.0023148
        k(  140) = (   0.0555556   0.1122626   0.0000000), wk =   0.0046296
        k(  141) = (   0.0555556   0.1283001   0.0000000), wk =   0.0046296
        k(  142) = (   0.0555556   0.1443376   0.0000000), wk =   0.0046296
        k(  143) = (   0.0555556   0.1603751   0.0000000), wk =   0.0046296
        k(  144) = (   0.0555556   0.1764126   0.0000000), wk =   0.0046296
        k(  145) = (   0.0555556   0.1924501   0.0000000), wk =   0.0046296
        k(  146) = (   0.0555556   0.2084876   0.0000000), wk =   0.0046296
        k(  147) = (   0.0555556   0.2245251   0.0000000), wk =   0.0046296
        k(  148) = (   0.0555556   0.2405626   0.0000000), wk =   0.0046296
        k(  149) = (   0.0555556   0.2566001   0.0000000), wk =   0.0046296
        k(  150) = (   0.0555556   0.2726376   0.0000000), wk =   0.0046296
        k(  151) = (   0.0555556   0.2886751   0.0000000), wk =   0.0046296
        k(  152) = (   0.0555556   0.3047126   0.0000000), wk =   0.0046296
        k(  153) = (   0.0555556   0.3207501   0.0000000), wk =   0.0046296
        k(  154) = (   0.0555556   0.3367877   0.0000000), wk =   0.0046296
        k(  155) = (   0.0555556   0.3528252   0.0000000), wk =   0.0046296
        k(  156) = (   0.0555556   0.3688627   0.0000000), wk =   0.0046296
        k(  157) = (   0.0555556   0.3849002   0.0000000), wk =   0.0046296
        k(  158) = (   0.0555556   0.4009377   0.0000000), wk =   0.0046296
        k(  159) = (   0.0555556   0.4169752   0.0000000), wk =   0.0046296
        k(  160) = (   0.0555556   0.4330127   0.0000000), wk =   0.0046296
        k(  161) = (   0.0555556   0.4490502   0.0000000), wk =   0.0046296
        k(  162) = (   0.0555556   0.4650877   0.0000000), wk =   0.0046296
        k(  163) = (   0.0555556   0.4811252   0.0000000), wk =   0.0046296
        k(  164) = (   0.0555556   0.4971627   0.0000000), wk =   0.0046296
        k(  165) = (   0.0555556   0.5132002   0.0000000), wk =   0.0046296
        k(  166) = (   0.0555556   0.5292377   0.0000000), wk =   0.0046296
        k(  167) = (   0.0555556   0.5452753   0.0000000), wk =   0.0046296
        k(  168) = (   0.0555556   0.5613128   0.0000000), wk =   0.0046296
        k(  169) = (   0.0555556   0.5773503   0.0000000), wk =   0.0023148
        k(  170) = (   0.0694444   0.1202813   0.0000000), wk =   0.0023148
        k(  171) = (   0.0694444   0.1363188   0.0000000), wk =   0.0046296
        k(  172) = (   0.0694444   0.1523563   0.0000000), wk =   0.0046296
        k(  173) = (   0.0694444   0.1683938   0.0000000), wk =   0.0046296
        k(  174) = (   0.0694444   0.1844313   0.0000000), wk =   0.0046296
        k(  175) = (   0.0694444   0.2004688   0.0000000), wk =   0.0046296
        k(  176) = (   0.0694444   0.2165064   0.0000000), wk =   0.0046296
        k(  177) = (   0.0694444   0.2325439   0.0000000), wk =   0.0046296
        k(  178) = (   0.0694444   0.2485814   0.0000000), wk =   0.0046296
        k(  179) = (   0.0694444   0.2646189   0.0000000), wk =   0.0046296
        k(  180) = (   0.0694444   0.2806564   0.0000000), wk =   0.0046296
        k(  181) = (   0.0694444   0.2966939   0.0000000), wk =   0.0046296
        k(  182) = (   0.0694444   0.3127314   0.0000000), wk =   0.0046296
        k(  183) = (   0.0694444   0.3287689   0.0000000), wk =   0.0046296
        k(  184) = (   0.0694444   0.3448064   0.0000000), wk =   0.0046296
        k(  185) = (   0.0694444   0.3608439   0.0000000), wk =   0.0046296
        k(  186) = (   0.0694444   0.3768814   0.0000000), wk =   0.0046296
        k(  187) = (   0.0694444   0.3929189   0.0000000), wk =   0.0046296
        k(  188) = (   0.0694444   0.4089564   0.0000000), wk =   0.0046296
        k(  189) = (   0.0694444   0.4249939   0.0000000), wk =   0.0046296
        k(  190) = (   0.0694444   0.4410315   0.0000000), wk =   0.0046296
        k(  191) = (   0.0694444   0.4570690   0.0000000), wk =   0.0046296
        k(  192) = (   0.0694444   0.4731065   0.0000000), wk =   0.0046296
        k(  193) = (   0.0694444   0.4891440   0.0000000), wk =   0.0046296
        k(  194) = (   0.0694444   0.5051815   0.0000000), wk =   0.0046296
        k(  195) = (   0.0694444   0.5212190   0.0000000), wk =   0.0046296
        k(  196) = (   0.0694444   0.5372565   0.0000000), wk =   0.0046296
        k(  197) = (   0.0694444   0.5532940   0.0000000), wk =   0.0046296
        k(  198) = (   0.0694444   0.5693315   0.0000000), wk =   0.0046296
        k(  199) = (   0.0833333   0.1443376   0.0000000), wk =   0.0023148
        k(  200) = (   0.0833333   0.1603751   0.0000000), wk =   0.0046296
        k(  201) = (   0.0833333   0.1764126   0.0000000), wk =   0.0046296
        k(  202) = (   0.0833333   0.1924501   0.0000000), wk =   0.0046296
        k(  203) = (   0.0833333   0.2084876   0.0000000), wk =   0.0046296
        k(  204) = (   0.0833333   0.2245251   0.0000000), wk =   0.0046296
        k(  205) = (   0.0833333   0.2405626   0.0000000), wk =   0.0046296
        k(  206) = (   0.0833333   0.2566001   0.0000000), wk =   0.0046296
        k(  207) = (   0.0833333   0.2726376   0.0000000), wk =   0.0046296
        k(  208) = (   0.0833333   0.2886751   0.0000000), wk =   0.0046296
        k(  209) = (   0.0833333   0.3047126   0.0000000), wk =   0.0046296
        k(  210) = (   0.0833333   0.3207501   0.0000000), wk =   0.0046296
        k(  211) = (   0.0833333   0.3367877   0.0000000), wk =   0.0046296
        k(  212) = (   0.0833333   0.3528252   0.0000000), wk =   0.0046296
        k(  213) = (   0.0833333   0.3688627   0.0000000), wk =   0.0046296
        k(  214) = (   0.0833333   0.3849002   0.0000000), wk =   0.0046296
        k(  215) = (   0.0833333   0.4009377   0.0000000), wk =   0.0046296
        k(  216) = (   0.0833333   0.4169752   0.0000000), wk =   0.0046296
        k(  217) = (   0.0833333   0.4330127   0.0000000), wk =   0.0046296
        k(  218) = (   0.0833333   0.4490502   0.0000000), wk =   0.0046296
        k(  219) = (   0.0833333   0.4650877   0.0000000), wk =   0.0046296
        k(  220) = (   0.0833333   0.4811252   0.0000000), wk =   0.0046296
        k(  221) = (   0.0833333   0.4971627   0.0000000), wk =   0.0046296
        k(  222) = (   0.0833333   0.5132002   0.0000000), wk =   0.0046296
        k(  223) = (   0.0833333   0.5292377   0.0000000), wk =   0.0046296
        k(  224) = (   0.0833333   0.5452753   0.0000000), wk =   0.0046296
        k(  225) = (   0.0833333   0.5613128   0.0000000), wk =   0.0046296
