# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    3.180000000    2.934315899    2.934315771    0.000980322
    3.190000000    2.954025078    2.954024945    0.000984265
    3.200000000    2.916003369    2.916003246    0.000988217
    3.210000000    2.846686971    2.846686862    0.000992179
    3.220000000    2.768159476    2.768159382    0.000996150
    3.230000000    2.691478671    2.691478592    0.001000130
    3.240000000    2.620887113    2.620887049    0.001004120
    3.250000000    2.554692975    2.554692937    0.001008119
    3.260000000    2.480708797    2.480708810    0.001012128
    3.270000000    2.383120913    2.383120992    0.001016147
    3.280000000    2.260516801    2.260516926    0.001020175
    3.290000000    2.132144034    2.132144158    0.001024214
    3.300000000    2.023268141    2.023268226    0.001028262
    3.310000000    1.946613002    1.946613042    0.001032320
    3.320000000    1.894975934    1.894975955    0.001036388
    3.330000000    1.846781445    1.846781486    0.001040466
    3.340000000    1.782685973    1.782686054    0.001044554
    3.350000000    1.702184279    1.702184381    0.001048652
    3.360000000    1.622742496    1.622742582    0.001052760
    3.370000000    1.564717777    1.564717818    0.001056878
    3.380000000    1.540245675    1.540245657    0.001061007
    3.390000000    1.550708827    1.550708757    0.001065146
    3.400000000    1.586620096    1.586620001    0.001069296
    3.410000000    1.627958503    1.627958424    0.001073455
    3.420000000    1.650567301    1.650567275    0.001077626
    3.430000000    1.641529971    1.641530003    0.001081807
    3.440000000    1.610003959    1.610004016    0.001085998
    3.450000000    1.579452478    1.579452517    0.001090200
    3.460000000    1.572223113    1.572223102    0.001094413
    3.470000000    1.602745669    1.602745591    0.001098637
    3.480000000    1.679026523    1.679026368    0.001102872
    3.490000000    1.805427661    1.805427426    0.001107117
    3.500000000    1.983185402    1.983185090    0.001111373
    3.510000000    2.208812549    2.208812173    0.001115641
    3.520000000    2.472714373    2.472713957    0.001119919
    3.530000000    2.759250714    2.759250289    0.001124209
    3.540000000    3.044452484    3.044452092    0.001128510
    3.550000000    3.292295247    3.292294948    0.001132822
    3.560000000    3.463938212    3.463938053    0.001137145
    3.570000000    3.540256568    3.540256552    0.001141480
    3.580000000    3.531200599    3.531200696    0.001145827
    3.590000000    3.460651613    3.460651786    0.001150184
    3.600000000    3.350378415    3.350378637    0.001154554
    3.610000000    3.220736630    3.220736866    0.001158935
    3.620000000    3.092376969    3.092377185    0.001163327
    3.630000000    2.976841792    2.976841979    0.001167732
    3.640000000    2.867926395    2.867926571    0.001172148
    3.650000000    2.747373588    2.747373774    0.001176576
    3.660000000    2.603325779    2.603325970    0.001181016
    3.670000000    2.443227671    2.443227834    0.001185468
    3.680000000    2.288753841    2.288753942    0.001189933
    3.690000000    2.162551994    2.162552020    0.001194409
    3.700000000    2.079121423    2.079121376    0.001198897
    3.710000000    2.041832043    2.041831938    0.001203398
