# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    8.550000000   -3.945181630   -3.945181645   -3.945181639
    8.650000000   -3.954550861   -3.954550875   -3.954550869
    8.750000000   -3.853311824   -3.853311838   -3.853311832
    8.850000000   -3.650825957   -3.650825971   -3.650825965
    8.950000000   -3.545394290   -3.545394305   -3.545394299
    9.050000000   -3.449937596   -3.449937610   -3.449937604
    9.150000000   -3.375077507   -3.375077521   -3.375077516
    9.250000000   -3.220055561   -3.220055575   -3.220055569
    9.350000000   -3.104749281   -3.104749296   -3.104749290
    9.450000000   -3.013647596   -3.013647611   -3.013647605
    9.550000000   -2.972846400   -2.972846415   -2.972846409
    9.650000000   -2.832122611   -2.832122626   -2.832122620
    9.750000000   -2.745770585   -2.745770600   -2.745770594
    9.850000000   -2.641144316   -2.641144331   -2.641144325
    9.950000000   -2.617485294   -2.617485309   -2.617485303
   10.050000000   -2.514571158   -2.514571172   -2.514571166
   10.150000000   -2.442729033   -2.442729047   -2.442729041
   10.250000000   -2.369341003   -2.369341018   -2.369341011
   10.350000000   -2.297129965   -2.297129980   -2.297129974
   10.450000000   -2.235018750   -2.235018765   -2.235018758
   10.550000000   -2.198529657   -2.198529672   -2.198529666
   10.650000000   -2.076268820   -2.076268835   -2.076268829
   10.750000000   -2.002747558   -2.002747573   -2.002747567
   10.850000000   -2.018370125   -2.018370141   -2.018370134
   10.950000000   -1.917621455   -1.917621471   -1.917621464
   11.050000000   -1.841442836   -1.841442851   -1.841442845
   11.150000000   -1.806546795   -1.806546811   -1.806546804
   11.250000000   -1.764890041   -1.764890057   -1.764890050
   11.350000000   -1.697375359   -1.697375375   -1.697375368
   11.450000000   -1.641425528   -1.641425544   -1.641425537
   11.550000000   -1.582558704   -1.582558720   -1.582558713
   11.650000000   -1.556786725   -1.556786741   -1.556786734
   11.750000000   -1.522084257   -1.522084273   -1.522084267
   11.850000000   -1.477563934   -1.477563950   -1.477563943
   11.950000000   -1.426654463   -1.426654479   -1.426654472
   12.050000000   -1.414435302   -1.414435318   -1.414435311
   12.150000000   -1.370591345   -1.370591361   -1.370591354
   12.250000000   -1.294372008   -1.294372024   -1.294372017
   12.350000000   -1.269907343   -1.269907360   -1.269907353
   12.450000000   -1.222689096   -1.222689112   -1.222689105
   12.550000000   -1.174433023   -1.174433039   -1.174433032
   12.650000000   -1.161146544   -1.161146561   -1.161146554
   12.750000000   -1.093997219   -1.093997236   -1.093997229
   12.850000000   -1.072158321   -1.072158337   -1.072158330
   12.950000000   -1.048044136   -1.048044152   -1.048044145
   13.050000000   -1.024430914   -1.024430930   -1.024430923
   13.150000000   -0.989624053   -0.989624070   -0.989624063
   13.250000000   -0.940480535   -0.940480552   -0.940480545
   13.350000000   -0.916549796   -0.916549813   -0.916549806
   13.450000000   -0.896912214   -0.896912231   -0.896912224
   13.550000000   -0.874331709   -0.874331726   -0.874331719
   13.650000000   -0.837236431   -0.837236448   -0.837236441
   13.750000000   -0.804959217   -0.804959234   -0.804959227
   13.850000000   -0.784282905   -0.784282923   -0.784282915
   13.950000000   -0.765367477   -0.765367494   -0.765367487
   14.050000000   -0.728238081   -0.728238099   -0.728238092
   14.150000000   -0.708368191   -0.708368209   -0.708368202
   14.250000000   -0.673960611   -0.673960629   -0.673960621
   14.350000000   -0.656962042   -0.656962060   -0.656962053
   14.450000000   -0.625733238   -0.625733256   -0.625733248
   14.550000000   -0.609801065   -0.609801084   -0.609801076
   14.650000000   -0.604689552   -0.604689570   -0.604689562
   14.750000000   -0.584033214   -0.584033233   -0.584033225
   14.850000000   -0.565711996   -0.565712015   -0.565712007
   14.950000000   -0.548908899   -0.548908918   -0.548908910
   15.050000000   -0.534758687   -0.534758706   -0.534758698
   15.150000000   -0.514834182   -0.514834201   -0.514834193
   15.250000000   -0.496548743   -0.496548762   -0.496548754
   15.350000000   -0.472296963   -0.472296982   -0.472296974
   15.450000000   -0.457162802   -0.457162822   -0.457162813
   15.550000000   -0.446752368   -0.446752387   -0.446752379
   15.650000000   -0.423476933   -0.423476953   -0.423476945
