# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
   15.750000000    0.246810739    0.246810739    0.246810739
   15.850000000    0.239522532    0.239522532    0.239522532
   15.950000000    0.222789339    0.222789339    0.222789339
   16.050000000    0.214102699    0.214102699    0.214102699
   16.150000000    0.200389639    0.200389639    0.200389639
   16.250000000    0.199304217    0.199304217    0.199304217
   16.350000000    0.196507655    0.196507655    0.196507655
   16.450000000    0.180276345    0.180276345    0.180276345
   16.550000000    0.172385724    0.172385724    0.172385724
   16.650000000    0.180449405    0.180449405    0.180449405
   16.750000000    0.178140971    0.178140971    0.178140971
   16.850000000    0.178162258    0.178162258    0.178162258
   16.950000000    0.170494743    0.170494743    0.170494743
   17.050000000    0.164950678    0.164950678    0.164950678
   17.150000000    0.154742597    0.154742597    0.154742597
   17.250000000    0.144628828    0.144628828    0.144628828
   17.350000000    0.145283491    0.145283491    0.145283491
   17.450000000    0.139686712    0.139686712    0.139686712
   17.550000000    0.127007588    0.127007588    0.127007588
   17.650000000    0.114813397    0.114813397    0.114813397
   17.750000000    0.112817450    0.112817450    0.112817450
   17.850000000    0.112246316    0.112246315    0.112246316
   17.950000000    0.108012010    0.108012010    0.108012010
   18.050000000    0.096129196    0.096129196    0.096129196
   18.150000000    0.097967388    0.097967388    0.097967388
   18.250000000    0.100225580    0.100225580    0.100225580
   18.350000000    0.104019096    0.104019096    0.104019096
   18.450000000    0.091803994    0.091803994    0.091803994
   18.550000000    0.077432251    0.077432251    0.077432251
   18.650000000    0.076484608    0.076484608    0.076484608
   18.750000000    0.079818039    0.079818039    0.079818039
   18.850000000    0.078433877    0.078433877    0.078433877
   18.950000000    0.070114743    0.070114743    0.070114743
   19.050000000    0.070525508    0.070525508    0.070525508
   19.150000000    0.072626275    0.072626275    0.072626275
   19.250000000    0.075897881    0.075897881    0.075897881
   19.350000000    0.077621384    0.077621384    0.077621384
   19.450000000    0.073780309    0.073780309    0.073780309
   19.550000000    0.074703062    0.074703062    0.074703062
   19.650000000    0.074373637    0.074373637    0.074373637
   19.750000000    0.075330551    0.075330551    0.075330551
   19.850000000    0.075695920    0.075695920    0.075695920
   19.950000000    0.075764639    0.075764638    0.075764639
   20.050000000    0.071132581    0.071132581    0.071132581
